IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.232.71,4,4,0.00,225.72,0.00
104.16.2.201,4,4,0.00,225.76,0.00
104.16.85.148,4,4,0.00,225.86,0.00
104.17.230.212,4,4,0.00,225.93,0.00
104.16.127.140,4,4,0.00,225.98,0.00
104.17.121.213,4,4,0.00,225.99,0.00
104.17.228.203,4,4,0.00,225.99,0.00
104.22.24.54,4,4,0.00,226.00,0.00
104.17.168.134,4,4,0.00,226.00,0.00
104.16.92.238,4,4,0.00,226.05,0.00
104.24.11.39,4,4,0.00,226.09,0.00
104.22.5.162,4,4,0.00,226.10,0.00
172.65.77.39,4,4,0.00,226.11,0.00
172.65.245.11,4,4,0.00,226.12,0.00
104.19.231.217,4,4,0.00,226.14,0.00
104.17.139.119,4,4,0.00,226.14,0.00
104.19.229.107,4,4,0.00,226.15,0.00
104.19.228.69,4,4,0.00,226.22,0.00
172.65.249.36,4,4,0.00,226.28,0.00
104.18.111.102,4,4,0.00,226.28,0.00
104.19.233.7,4,4,0.00,226.29,0.00
104.19.169.12,4,4,0.00,226.29,0.00
104.16.108.117,4,4,0.00,226.38,0.00
172.64.35.44,4,4,0.00,226.39,0.00
104.16.110.191,4,4,0.00,226.41,0.00
172.66.207.81,4,4,0.00,226.44,0.00
104.24.143.230,4,4,0.00,226.46,0.00
104.24.69.211,4,4,0.00,226.46,0.00
172.65.254.240,4,4,0.00,226.46,0.00
104.16.151.186,4,4,0.00,226.49,0.00
172.67.85.217,4,4,0.00,226.55,0.00
104.17.110.185,4,4,0.00,226.59,0.00
104.16.105.74,4,4,0.00,226.60,0.00
104.20.192.239,4,4,0.00,226.62,0.00
172.65.215.12,4,4,0.00,226.65,0.00
172.65.214.54,4,4,0.00,226.68,0.00
104.16.95.222,4,4,0.00,226.74,0.00
154.92.9.132,4,4,0.00,226.81,0.00
104.16.46.190,4,4,0.00,226.83,0.00
104.17.109.124,4,4,0.00,226.83,0.00
104.16.45.15,4,4,0.00,226.85,0.00
172.65.248.122,4,4,0.00,226.87,0.00
104.16.49.119,4,4,0.00,226.87,0.00
104.16.17.220,4,4,0.00,226.94,0.00
104.19.178.147,4,4,0.00,226.94,0.00
104.23.111.31,4,4,0.00,226.94,0.00
104.17.174.86,4,4,0.00,226.95,0.00
5.226.179.61,4,4,0.00,227.00,0.00
162.159.248.50,4,4,0.00,227.04,0.00
104.18.118.102,4,4,0.00,227.13,0.00
172.67.91.101,4,4,0.00,227.14,0.00
172.66.165.220,4,4,0.00,227.18,0.00
198.41.201.66,4,4,0.00,227.26,0.00
104.17.117.41,4,4,0.00,227.27,0.00
172.66.158.214,4,4,0.00,227.28,0.00
104.24.3.75,4,4,0.00,227.37,0.00
104.20.249.110,4,4,0.00,227.39,0.00
104.17.254.73,4,4,0.00,227.40,0.00
172.67.92.55,4,4,0.00,227.42,0.00
104.16.226.197,4,4,0.00,227.49,0.00
104.17.215.89,4,4,0.00,227.53,0.00
104.19.227.199,4,4,0.00,227.59,0.00
104.18.66.228,4,4,0.00,227.59,0.00
104.17.252.176,4,4,0.00,227.65,0.00
162.159.35.81,4,4,0.00,227.70,0.00
104.16.44.118,4,4,0.00,227.73,0.00
172.65.4.5,4,4,0.00,227.73,0.00
104.16.69.116,4,4,0.00,227.80,0.00
104.16.163.130,4,4,0.00,227.82,0.00
104.17.118.59,4,4,0.00,227.86,0.00
104.25.18.173,4,4,0.00,227.90,0.00
104.17.236.92,4,4,0.00,227.91,0.00
104.16.88.93,4,4,0.00,228.00,0.00
104.22.16.165,4,4,0.00,228.03,0.00
104.16.109.161,4,4,0.00,228.04,0.00
104.16.9.237,4,4,0.00,228.09,0.00
104.20.48.250,4,4,0.00,228.16,0.00
104.18.177.216,4,4,0.00,228.17,0.00
172.67.114.171,4,4,0.00,228.19,0.00
104.16.243.219,4,4,0.00,228.22,0.00
104.17.120.38,4,4,0.00,228.26,0.00
104.18.125.97,4,4,0.00,228.27,0.00
104.16.245.91,4,4,0.00,228.30,0.00
104.19.170.68,4,4,0.00,228.30,0.00
162.159.209.189,4,4,0.00,228.34,0.00
104.25.134.225,4,4,0.00,228.35,0.00
104.16.43.150,4,4,0.00,228.43,0.00
104.16.22.95,4,4,0.00,228.44,0.00
104.17.100.108,4,4,0.00,228.49,0.00
104.17.137.19,4,4,0.00,228.52,0.00
104.17.116.214,4,4,0.00,228.59,0.00
172.65.252.155,4,4,0.00,228.63,0.00
104.19.213.134,4,4,0.00,228.63,0.00
104.24.139.189,4,4,0.00,228.67,0.00
45.142.120.254,4,4,0.00,228.71,0.00
104.22.30.171,4,4,0.00,228.72,0.00
104.16.221.14,4,4,0.00,228.78,0.00
172.66.131.158,4,4,0.00,228.78,0.00
104.17.37.43,4,4,0.00,228.87,0.00
104.25.41.210,4,4,0.00,228.98,0.00
172.67.169.127,4,4,0.00,229.10,0.00
104.16.153.234,4,4,0.00,229.12,0.00
104.24.152.182,4,4,0.00,229.15,0.00
104.17.205.127,4,4,0.00,229.15,0.00
104.27.23.145,4,4,0.00,229.17,0.00
172.66.152.94,4,4,0.00,229.17,0.00
104.24.19.176,4,4,0.00,229.24,0.00
104.24.187.230,4,4,0.00,229.24,0.00
104.18.75.193,4,4,0.00,229.30,0.00
172.66.43.68,4,4,0.00,229.32,0.00
104.18.73.82,4,4,0.00,229.33,0.00
104.17.142.104,4,4,0.00,229.37,0.00
104.18.124.60,4,4,0.00,229.42,0.00
104.19.209.21,4,4,0.00,229.42,0.00
104.20.22.137,4,4,0.00,229.48,0.00
104.16.35.218,4,4,0.00,229.49,0.00
172.65.134.253,4,4,0.00,229.50,0.00
104.16.84.236,4,4,0.00,229.51,0.00
104.19.224.47,4,4,0.00,229.51,0.00
172.65.246.23,4,4,0.00,229.56,0.00
104.18.120.99,4,4,0.00,229.57,0.00
104.17.176.34,4,4,0.00,229.60,0.00
104.18.154.167,4,4,0.00,229.65,0.00
172.65.162.65,4,4,0.00,229.68,0.00
104.18.121.240,4,4,0.00,229.70,0.00
104.16.16.220,4,4,0.00,229.72,0.00
104.18.69.235,4,4,0.00,229.72,0.00
104.17.251.58,4,4,0.00,229.74,0.00
104.24.153.189,4,4,0.00,229.84,0.00
104.18.116.121,4,4,0.00,229.85,0.00
104.16.171.131,4,4,0.00,229.85,0.00
203.28.8.80,4,4,0.00,229.90,0.00
104.18.204.234,4,4,0.00,229.93,0.00
104.22.10.207,4,4,0.00,229.93,0.00
104.24.15.7,4,4,0.00,229.94,0.00
104.19.225.151,4,4,0.00,229.99,0.00
104.18.181.68,4,4,0.00,230.01,0.00
104.19.192.157,4,4,0.00,230.02,0.00
104.17.232.207,4,4,0.00,230.03,0.00
104.17.222.224,4,4,0.00,230.03,0.00
104.18.113.202,4,4,0.00,230.05,0.00
104.16.91.232,4,4,0.00,230.08,0.00
172.65.123.57,4,4,0.00,230.08,0.00
104.24.221.182,4,4,0.00,230.11,0.00
104.22.14.14,4,4,0.00,230.14,0.00
104.16.140.182,4,4,0.00,230.24,0.00
104.24.161.0,4,4,0.00,230.26,0.00
172.66.45.64,4,4,0.00,230.32,0.00
104.18.126.240,4,4,0.00,230.34,0.00
104.20.122.253,4,4,0.00,230.36,0.00
104.18.169.88,4,4,0.00,230.36,0.00
104.22.11.128,4,4,0.00,230.36,0.00
104.20.49.62,4,4,0.00,230.43,0.00
104.17.246.62,4,4,0.00,230.44,0.00
104.18.250.214,4,4,0.00,230.45,0.00
104.17.231.21,4,4,0.00,230.46,0.00
172.67.124.61,4,4,0.00,230.47,0.00
172.83.72.217,4,4,0.00,230.49,0.00
104.17.233.99,4,4,0.00,230.55,0.00
104.16.170.6,4,4,0.00,230.57,0.00
104.17.203.167,4,4,0.00,230.59,0.00
104.16.104.65,4,4,0.00,230.60,0.00
104.16.124.56,4,4,0.00,230.65,0.00
104.24.36.15,4,4,0.00,230.68,0.00
104.22.0.194,4,4,0.00,230.74,0.00
104.18.187.98,4,4,0.00,230.75,0.00
104.17.111.70,4,4,0.00,230.76,0.00
172.64.84.32,4,4,0.00,230.78,0.00
104.19.166.128,4,4,0.00,230.78,0.00
104.17.0.99,4,4,0.00,230.83,0.00
104.16.111.193,4,4,0.00,230.89,0.00
104.17.201.139,4,4,0.00,230.90,0.00
104.16.126.36,4,4,0.00,230.91,0.00
104.19.173.36,4,4,0.00,230.97,0.00
104.16.234.216,4,4,0.00,231.01,0.00
104.16.115.101,4,4,0.00,231.02,0.00
104.17.172.74,4,4,0.00,231.02,0.00
104.16.116.237,4,4,0.00,231.03,0.00
104.18.212.76,4,4,0.00,231.11,0.00
104.16.236.150,4,4,0.00,231.12,0.00
104.16.231.248,4,4,0.00,231.18,0.00
104.17.226.235,4,4,0.00,231.26,0.00
104.17.134.30,4,4,0.00,231.28,0.00
104.25.124.119,4,4,0.00,231.30,0.00
104.16.174.252,4,4,0.00,231.31,0.00
104.18.211.27,4,4,0.00,231.33,0.00
104.18.112.101,4,4,0.00,231.36,0.00
104.24.246.226,4,4,0.00,231.37,0.00
104.17.36.50,4,4,0.00,231.38,0.00
172.67.113.225,4,4,0.00,231.39,0.00
104.16.130.29,4,4,0.00,231.40,0.00
172.64.83.231,4,4,0.00,231.42,0.00
104.16.36.158,4,4,0.00,231.43,0.00
104.18.183.8,4,4,0.00,231.49,0.00
172.66.42.156,4,4,0.00,231.64,0.00
104.16.210.94,4,4,0.00,231.65,0.00
104.17.245.0,4,4,0.00,231.67,0.00
104.16.141.32,4,4,0.00,231.69,0.00
104.17.181.53,4,4,0.00,231.74,0.00
104.20.245.154,4,4,0.00,231.76,0.00
104.17.28.193,4,4,0.00,231.82,0.00
