IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
198.41.216.111,4,4,0.00,246.77,0.00
104.27.63.16,4,4,0.00,246.80,0.00
104.16.190.243,4,4,0.00,246.82,0.00
104.24.147.1,4,4,0.00,246.83,0.00
172.65.10.73,4,4,0.00,246.84,0.00
104.17.112.27,4,4,0.00,246.84,0.00
104.24.35.3,4,4,0.00,246.85,0.00
104.25.4.77,4,4,0.00,246.91,0.00
104.24.169.187,4,4,0.00,246.91,0.00
203.34.28.172,4,4,0.00,246.91,0.00
104.24.226.37,4,4,0.00,246.92,0.00
104.16.152.56,4,4,0.00,246.98,0.00
172.66.170.170,4,4,0.00,247.04,0.00
104.27.110.197,4,4,0.00,247.05,0.00
104.18.249.83,4,4,0.00,247.06,0.00
104.17.71.38,4,4,0.00,247.06,0.00
104.17.151.203,4,4,0.00,247.10,0.00
104.18.15.160,4,4,0.00,247.13,0.00
172.67.158.96,4,4,0.00,247.15,0.00
104.23.124.84,4,4,0.00,247.20,0.00
104.17.138.63,4,4,0.00,247.22,0.00
104.27.53.251,4,4,0.00,247.23,0.00
104.19.185.87,4,4,0.00,247.23,0.00
162.159.239.215,4,4,0.00,247.25,0.00
198.41.202.236,4,4,0.00,247.26,0.00
104.17.95.8,4,4,0.00,247.27,0.00
104.27.126.228,4,4,0.00,247.29,0.00
104.17.211.14,4,4,0.00,247.29,0.00
172.67.43.4,4,4,0.00,247.29,0.00
172.67.94.49,4,4,0.00,247.37,0.00
104.17.26.103,4,4,0.00,247.37,0.00
104.27.36.221,4,4,0.00,247.39,0.00
104.17.149.60,4,4,0.00,247.41,0.00
104.24.134.0,4,4,0.00,247.41,0.00
104.20.111.175,4,4,0.00,247.41,0.00
172.67.197.67,4,4,0.00,247.42,0.00
104.24.4.72,4,4,0.00,247.43,0.00
172.67.164.193,4,4,0.00,247.44,0.00
104.17.102.175,4,4,0.00,247.45,0.00
172.65.9.6,4,4,0.00,247.46,0.00
104.19.8.196,4,4,0.00,247.46,0.00
104.16.158.182,4,4,0.00,247.50,0.00
104.24.23.89,4,4,0.00,247.50,0.00
104.16.193.208,4,4,0.00,247.51,0.00
104.24.150.165,4,4,0.00,247.54,0.00
104.18.213.143,4,4,0.00,247.54,0.00
172.65.14.35,4,4,0.00,247.55,0.00
162.159.207.8,4,4,0.00,247.55,0.00
104.19.20.80,4,4,0.00,247.56,0.00
104.27.69.94,4,4,0.00,247.57,0.00
193.227.99.8,4,4,0.00,247.61,0.00
104.21.14.220,4,4,0.00,247.61,0.00
199.181.197.141,4,4,0.00,247.68,0.00
104.20.35.87,4,4,0.00,247.69,0.00
104.17.96.48,4,4,0.00,247.70,0.00
104.18.153.140,4,4,0.00,247.72,0.00
104.27.206.220,4,4,0.00,247.75,0.00
104.25.3.107,4,4,0.00,247.78,0.00
104.18.5.15,4,4,0.00,247.79,0.00
194.113.223.146,4,4,0.00,247.81,0.00
104.24.22.243,4,4,0.00,247.82,0.00
104.20.20.207,4,4,0.00,247.82,0.00
172.66.138.168,4,4,0.00,247.85,0.00
172.67.98.116,4,4,0.00,247.87,0.00
104.24.205.101,4,4,0.00,247.87,0.00
104.25.157.246,4,4,0.00,247.90,0.00
104.16.237.122,4,4,0.00,247.91,0.00
45.8.211.110,4,4,0.00,247.91,0.00
104.18.167.111,4,4,0.00,247.92,0.00
172.65.229.181,4,4,0.00,247.93,0.00
172.66.193.243,4,4,0.00,247.93,0.00
172.65.2.209,4,4,0.00,247.94,0.00
162.159.240.88,4,4,0.00,247.95,0.00
172.65.132.122,4,4,0.00,247.96,0.00
104.24.144.155,4,4,0.00,247.96,0.00
172.65.197.110,4,4,0.00,247.96,0.00
104.18.122.104,4,4,0.00,247.99,0.00
23.247.163.97,4,4,0.00,248.00,0.00
104.18.44.81,4,4,0.00,248.00,0.00
104.24.149.112,4,4,0.00,248.02,0.00
203.23.104.116,4,4,0.00,248.03,0.00
172.67.50.221,4,4,0.00,248.06,0.00
172.65.127.83,4,4,0.00,248.08,0.00
172.67.127.54,4,4,0.00,248.09,0.00
104.24.41.125,4,4,0.00,248.09,0.00
162.159.10.225,4,4,0.00,248.10,0.00
104.24.228.227,4,4,0.00,248.12,0.00
104.24.184.7,4,4,0.00,248.14,0.00
104.17.42.24,4,4,0.00,248.22,0.00
104.25.202.139,4,4,0.00,248.27,0.00
104.24.38.223,4,4,0.00,248.28,0.00
104.24.140.251,4,4,0.00,248.29,0.00
162.159.36.157,4,4,0.00,248.30,0.00
104.17.145.9,4,4,0.00,248.31,0.00
104.24.92.3,4,4,0.00,248.32,0.00
104.18.108.84,4,4,0.00,248.33,0.00
104.27.35.11,4,4,0.00,248.37,0.00
172.65.124.175,4,4,0.00,248.39,0.00
104.17.193.217,4,4,0.00,248.39,0.00
172.65.196.237,4,4,0.00,248.40,0.00
104.24.175.85,4,4,0.00,248.42,0.00
104.19.30.132,4,4,0.00,248.43,0.00
104.18.217.34,4,4,0.00,248.44,0.00
104.22.34.77,4,4,0.00,248.45,0.00
172.66.192.231,4,4,0.00,248.47,0.00
172.64.34.179,4,4,0.00,248.48,0.00
162.159.38.187,4,4,0.00,248.50,0.00
104.25.207.109,4,4,0.00,248.51,0.00
104.22.41.102,4,4,0.00,248.52,0.00
104.17.14.35,4,4,0.00,248.54,0.00
162.159.41.225,4,4,0.00,248.54,0.00
104.18.142.38,4,4,0.00,248.54,0.00
104.25.59.152,4,4,0.00,248.55,0.00
172.65.226.194,4,4,0.00,248.56,0.00
104.16.212.57,4,4,0.00,248.57,0.00
104.21.21.116,4,4,0.00,248.58,0.00
172.65.106.10,4,4,0.00,248.60,0.00
104.20.201.209,4,4,0.00,248.61,0.00
104.27.70.106,4,4,0.00,248.63,0.00
172.64.152.39,4,4,0.00,248.63,0.00
172.64.149.209,4,4,0.00,248.65,0.00
104.18.198.140,4,4,0.00,248.66,0.00
185.238.228.26,4,4,0.00,248.68,0.00
194.152.44.252,4,4,0.00,248.69,0.00
104.20.244.161,4,4,0.00,248.72,0.00
172.65.224.142,4,4,0.00,248.74,0.00
104.16.75.103,4,4,0.00,248.75,0.00
104.24.196.94,4,4,0.00,248.75,0.00
104.20.72.119,4,4,0.00,248.75,0.00
162.159.51.66,4,4,0.00,248.76,0.00
104.18.37.216,4,4,0.00,248.80,0.00
104.20.36.149,4,4,0.00,248.82,0.00
104.18.230.12,4,4,0.00,248.83,0.00
31.22.116.111,4,4,0.00,248.83,0.00
104.22.40.78,4,4,0.00,248.87,0.00
104.18.107.234,4,4,0.00,248.88,0.00
31.43.179.223,4,4,0.00,248.88,0.00
172.65.126.16,4,4,0.00,248.88,0.00
104.17.144.44,4,4,0.00,248.88,0.00
104.19.83.211,4,4,0.00,248.90,0.00
162.159.8.6,4,4,0.00,248.91,0.00
45.131.6.31,4,4,0.00,248.94,0.00
104.27.59.125,4,4,0.00,248.95,0.00
104.24.204.130,4,4,0.00,248.98,0.00
104.27.125.213,4,4,0.00,248.99,0.00
104.19.27.24,4,4,0.00,248.99,0.00
104.24.30.158,4,4,0.00,248.99,0.00
172.67.126.90,4,4,0.00,248.99,0.00
104.18.151.237,4,4,0.00,249.01,0.00
172.67.205.27,4,4,0.00,249.01,0.00
104.16.122.245,4,4,0.00,249.02,0.00
104.19.190.129,4,4,0.00,249.02,0.00
104.17.69.8,4,4,0.00,249.03,0.00
104.17.68.228,4,4,0.00,249.04,0.00
104.18.109.104,4,4,0.00,249.05,0.00
104.17.13.136,4,4,0.00,249.05,0.00
162.159.12.131,4,4,0.00,249.07,0.00
162.159.198.207,4,4,0.00,249.08,0.00
104.20.190.180,4,4,0.00,249.10,0.00
104.19.186.54,4,4,0.00,249.11,0.00
104.22.66.31,4,4,0.00,249.11,0.00
104.19.194.84,4,4,0.00,249.11,0.00
172.64.230.250,4,4,0.00,249.13,0.00
104.27.119.22,4,4,0.00,249.13,0.00
104.20.207.230,4,4,0.00,249.16,0.00
172.66.133.47,4,4,0.00,249.16,0.00
104.17.173.191,4,4,0.00,249.17,0.00
104.17.178.27,4,4,0.00,249.17,0.00
104.22.76.118,4,4,0.00,249.18,0.00
104.25.199.179,4,4,0.00,249.19,0.00
104.18.128.204,4,4,0.00,249.20,0.00
104.22.73.143,4,4,0.00,249.20,0.00
104.20.33.133,4,4,0.00,249.24,0.00
172.67.16.119,4,4,0.00,249.24,0.00
162.159.6.65,4,4,0.00,249.24,0.00
104.24.160.51,4,4,0.00,249.26,0.00
162.159.0.56,4,4,0.00,249.30,0.00
104.17.92.15,4,4,0.00,249.31,0.00
104.19.108.168,4,4,0.00,249.36,0.00
104.17.93.231,4,4,0.00,249.39,0.00
104.20.234.122,4,4,0.00,249.42,0.00
104.23.100.66,4,4,0.00,249.43,0.00
198.41.211.184,4,4,0.00,249.44,0.00
172.67.254.240,4,4,0.00,249.44,0.00
104.18.27.141,4,4,0.00,249.46,0.00
104.19.155.84,4,4,0.00,249.47,0.00
104.24.42.223,4,4,0.00,249.47,0.00
203.24.109.92,4,4,0.00,249.47,0.00
104.20.233.85,4,4,0.00,249.47,0.00
104.19.222.53,4,4,0.00,249.48,0.00
104.19.246.194,4,4,0.00,249.50,0.00
104.16.189.211,4,4,0.00,249.53,0.00
172.67.207.25,4,4,0.00,249.55,0.00
172.65.67.2,4,4,0.00,249.55,0.00
162.159.205.239,4,4,0.00,249.60,0.00
172.65.160.234,4,4,0.00,249.60,0.00
104.16.208.114,4,4,0.00,249.66,0.00
203.29.54.217,4,4,0.00,249.67,0.00
172.67.204.220,4,4,0.00,249.67,0.00
104.18.205.34,4,4,0.00,249.69,0.00
162.159.247.249,4,4,0.00,249.70,0.00
104.18.20.208,4,4,0.00,249.70,0.00
203.29.52.71,4,4,0.00,249.74,0.00
104.20.224.154,4,4,0.00,249.74,0.00
162.159.50.151,4,4,0.00,249.74,0.00
162.159.46.143,4,4,0.00,249.76,0.00
104.25.0.51,4,4,0.00,249.77,0.00
172.65.131.169,4,4,0.00,249.77,0.00
104.17.45.191,4,4,0.00,249.81,0.00
104.18.104.237,4,4,0.00,249.81,0.00
104.16.18.154,4,4,0.00,249.82,0.00
104.20.254.168,4,4,0.00,249.82,0.00
104.16.160.120,4,4,0.00,249.85,0.00
104.19.58.67,4,4,0.00,249.86,0.00
104.25.94.140,4,4,0.00,249.87,0.00
172.65.251.81,4,4,0.00,249.89,0.00
104.17.101.46,4,4,0.00,249.90,0.00
162.159.2.165,4,4,0.00,249.90,0.00
104.25.31.100,4,4,0.00,249.92,0.00
104.19.220.141,4,4,0.00,249.94,0.00
104.24.157.177,4,4,0.00,249.95,0.00
94.140.0.147,4,4,0.00,249.97,0.00
104.18.173.120,4,4,0.00,249.99,0.00
